,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002 Total,,,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003 Total,,,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004 Total,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005 Total,,,,,Grand Total,,,,
EUROTEL VI,Villars Palace Hotels & Academy,173,7'403.30,7'965.90,7'965.90,0.00,0.00,11'780.30,12'675.55,12'675.55,0.00,0.00,15'241.55,16'400.00,16'400.00,0.00,0.00,16'742.80,18'015.25,18'015.25,0.00,0.00,13'981.85,15'044.55,15'044.55,0.00,0.00,5'642.90,6'071.70,6'071.70,0.00,0.00,3'524.35,3'792.20,3'792.20,0.00,0.00,7'591.65,8'168.65,8'168.65,0.00,0.00,81'908.70,88'133.80,88'133.80,0.00,0.00,22'266.25,23'958.45,23'958.45,0.00,0.00,18'709.45,20'131.50,20'131.50,0.00,0.00,17'014.30,18'307.50,18'307.50,0.00,0.00,12'696.15,13'661.15,13'661.15,0.00,0.00,14'080.55,15'150.70,15'150.70,0.00,0.00,17'971.70,19'337.50,19'337.50,0.00,0.00,19'577.10,21'065.10,21'065.10,0.00,0.00,20'419.80,21'971.80,21'971.80,0.00,0.00,17'745.15,19'093.80,19'093.80,0.00,0.00,3'991.15,4'294.55,4'294.55,0.00,0.00,1'567.05,1'686.15,1'686.15,0.00,0.00,5'827.30,6'270.15,6'270.15,0.00,0.00,171'865.95,184'928.35,184'928.35,0.00,0.00,16'795.10,18'071.45,18'071.45,0.00,0.00,24'470.30,26'330.05,26'330.05,0.00,0.00,22'376.95,24'077.60,24'077.60,0.00,0.00,9'787.35,10'531.20,10'531.20,0.00,0.00,7'118.60,7'659.50,7'659.50,0.00,0.00,12'289.10,13'223.10,13'223.10,0.00,0.00,17'902.60,19'263.15,19'263.15,0.00,0.00,15'261.35,16'421.30,16'421.30,0.00,0.00,13'309.20,14'320.70,14'320.70,0.00,0.00,2'476.20,2'664.45,2'664.45,0.00,0.00,2'113.25,2'273.85,2'273.85,0.00,0.00,8'411.85,9'051.10,9'051.10,0.00,0.00,152'311.85,163'887.45,163'887.45,0.00,0.00,19'962.55,21'479.70,21'479.70,0.00,0.00,23'331.35,25'104.60,25'104.60,0.00,0.00,24'252.05,26'095.35,26'095.35,0.00,0.00,11'734.70,12'626.60,12'626.60,0.00,0.00,11'922.95,12'829.10,12'829.10,0.00,0.00,18'497.00,19'902.75,19'902.75,0.00,0.00,18'024.70,19'394.65,19'394.65,0.00,0.00,15'046.80,16'190.35,16'190.35,0.00,0.00,19'325.70,20'794.45,20'794.45,0.00,0.00,7'818.25,8'412.50,8'412.50,0.00,0.00,4'586.05,4'934.65,4'934.65,0.00,0.00,7'538.45,8'111.25,8'111.25,0.00,0.00,182'040.55,195'875.95,195'875.95,0.00,0.00,588'127.05,632'825.55,632'825.55,0.00,0.00
FLORISSANT,Le Florissant,427,2'628.50,2'828.10,2'828.10,0.00,0.00,2'008.80,2'161.35,2'161.35,0.00,0.00,2'572.55,2'768.00,2'768.00,0.00,0.00,2'420.80,2'604.75,2'604.75,0.00,0.00,2'325.05,2'501.70,2'501.70,0.00,0.00,2'655.65,2'857.40,2'857.40,0.00,0.00,2'666.50,2'869.00,2'869.00,0.00,0.00,2'132.00,2'294.00,2'294.00,0.00,0.00,19'409.85,20'884.30,20'884.30,0.00,0.00,2'170.70,2'335.60,2'335.60,0.00,0.00,1'929.95,2'076.55,2'076.55,0.00,0.00,1'848.95,1'989.40,1'989.40,0.00,0.00,2'204.50,2'371.95,2'371.95,0.00,0.00,2'118.95,2'279.95,2'279.95,0.00,0.00,1'777.45,1'912.60,1'912.60,0.00,0.00,1'860.10,2'001.55,2'001.55,0.00,0.00,1'742.50,1'874.90,1'874.90,0.00,0.00,1'437.25,1'546.35,1'546.35,0.00,0.00,1'901.30,2'045.65,2'045.65,0.00,0.00,2'000.15,2'152.15,2'152.15,0.00,0.00,2'385.45,2'566.60,2'566.60,0.00,0.00,23'377.25,25'153.25,25'153.25,0.00,0.00,2'328.90,2'505.80,2'505.80,0.00,0.00,1'653.85,1'779.65,1'779.65,0.00,0.00,1'602.60,1'724.45,1'724.45,0.00,0.00,2'010.60,2'163.30,2'163.30,0.00,0.00,1'946.65,2'094.55,2'094.55,0.00,0.00,1'690.45,1'818.85,1'818.85,0.00,0.00,2'376.65,2'557.10,2'557.10,0.00,0.00,2'111.70,2'272.05,2'272.05,0.00,0.00,2'282.50,2'455.90,2'455.90,0.00,0.00,,,,,,,,,,,,,,,,18'003.90,19'371.65,19'371.65,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60'791.00,65'409.20,65'409.20,0.00,0.00
FORMULE 1,Eco Hôtels Bussigny SA,478,6'806.10,7'323.25,7'323.25,0.00,0.00,5'722.40,6'157.35,6'157.35,0.00,0.00,8'461.60,9'104.65,9'104.65,0.00,0.00,7'367.25,7'927.10,7'927.10,0.00,0.00,6'593.85,7'095.05,7'095.05,0.00,0.00,6'611.25,7'113.70,7'113.70,0.00,0.00,6'185.15,6'655.40,6'655.40,0.00,0.00,5'233.85,5'631.70,5'631.70,0.00,0.00,52'981.45,57'008.20,57'008.20,0.00,0.00,5'092.00,5'479.05,5'479.05,0.00,0.00,4'943.95,5'319.75,5'319.75,0.00,0.00,5'950.75,6'403.15,6'403.15,0.00,0.00,7'571.95,8'147.50,8'147.50,0.00,0.00,6'351.20,6'833.80,6'833.80,0.00,0.00,6'499.65,6'993.70,6'993.70,0.00,0.00,7'697.20,8'282.25,8'282.25,0.00,0.00,7'168.30,7'713.10,7'713.10,0.00,0.00,8'431.30,9'072.10,9'072.10,0.00,0.00,6'491.75,6'985.25,6'985.25,0.00,0.00,5'273.70,5'674.50,5'674.50,0.00,0.00,6'109.00,6'573.30,6'573.30,0.00,0.00,77'580.75,83'477.45,83'477.45,0.00,0.00,5'226.55,5'623.95,5'623.95,0.00,0.00,7'271.15,7'823.70,7'823.70,0.00,0.00,6'258.75,6'734.35,6'734.35,0.00,0.00,6'918.80,7'444.60,7'444.60,0.00,0.00,6'255.80,6'731.40,6'731.40,0.00,0.00,6'601.95,7'103.85,7'103.85,0.00,0.00,7'644.15,8'225.15,8'225.15,0.00,0.00,7'085.00,7'623.45,7'623.45,0.00,0.00,5'972.75,6'426.60,6'426.60,0.00,0.00,5'927.60,6'378.10,6'378.10,0.00,0.00,5'488.60,5'905.80,5'905.80,0.00,0.00,6'181.70,6'651.45,6'651.45,0.00,0.00,76'832.80,82'672.40,82'672.40,0.00,0.00,4'805.55,5'170.75,5'170.75,0.00,0.00,5'671.85,6'103.00,6'103.00,0.00,0.00,6'718.95,7'229.70,7'229.70,0.00,0.00,7'179.85,7'725.45,7'725.45,0.00,0.00,7'324.10,7'880.70,7'880.70,0.00,0.00,6'283.85,6'761.45,6'761.45,0.00,0.00,7'436.40,8'001.60,8'001.60,0.00,0.00,7'260.00,7'811.75,7'811.75,0.00,0.00,6'049.50,6'509.20,6'509.20,0.00,0.00,7'103.85,7'643.85,7'643.85,0.00,0.00,6'289.35,6'767.40,6'767.40,0.00,0.00,5'714.50,6'148.85,6'148.85,0.00,0.00,77'837.75,83'753.70,83'753.70,0.00,0.00,285'232.75,306'911.75,306'911.75,0.00,0.00
FORUM,Hôtel du Forum Rest. L'Olivier,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2'225.15,2'394.30,2'394.30,0.00,0.00,4'380.85,4'713.90,4'713.90,0.00,0.00,5'353.70,5'760.65,5'760.65,0.00,0.00,4'328.80,4'657.80,4'657.80,0.00,0.00,2'313.00,2'488.75,2'488.75,0.00,0.00,2'332.85,2'510.25,2'510.25,0.00,0.00,20'934.35,22'525.65,22'525.65,0.00,0.00,1'873.90,2'016.40,2'016.40,0.00,0.00,2'067.40,2'224.55,2'224.55,0.00,0.00,3'204.40,3'447.90,3'447.90,0.00,0.00,2'774.55,2'985.45,2'985.45,0.00,0.00,2'616.50,2'815.30,2'815.30,0.00,0.00,2'493.45,2'682.90,2'682.90,0.00,0.00,4'358.15,4'689.30,4'689.30,0.00,0.00,5'595.65,6'021.00,6'021.00,0.00,0.00,6'062.35,6'523.10,6'523.10,0.00,0.00,4'136.65,4'451.10,4'451.10,0.00,0.00,3'248.00,3'494.95,3'494.95,0.00,0.00,1'765.55,1'899.75,1'899.75,0.00,0.00,40'196.55,43'251.70,43'251.70,0.00,0.00,61'130.90,65'777.35,65'777.35,0.00,0.00
FUJI,Restaurant Fuji,426,1'916.50,2'062.25,2'062.25,0.00,0.00,1'873.60,2'015.95,2'015.95,0.00,0.00,1'826.40,1'965.20,1'965.20,0.00,0.00,1'837.10,1'976.75,1'976.75,0.00,0.00,1'869.40,2'011.45,2'011.45,0.00,0.00,1'826.00,1'964.80,1'964.80,0.00,0.00,1'816.10,1'954.20,1'954.20,0.00,0.00,1'870.90,2'013.15,2'013.15,0.00,0.00,14'836.00,15'963.75,15'963.75,0.00,0.00,1'171.00,1'259.90,1'259.90,0.00,0.00,1'547.00,1'664.65,1'664.65,0.00,0.00,2'052.00,2'207.95,2'207.95,0.00,0.00,-146.70,-157.85,-157.85,0.00,0.00,995.15,1'070.75,1'070.75,0.00,0.00,919.95,989.90,989.90,0.00,0.00,1'218.35,1'310.95,1'310.95,0.00,0.00,1'082.50,1'164.75,1'164.75,0.00,0.00,1'062.10,1'142.95,1'142.95,0.00,0.00,1'355.35,1'458.40,1'458.40,0.00,0.00,1'098.50,1'181.95,1'181.95,0.00,0.00,1'101.65,1'185.40,1'185.40,0.00,0.00,13'456.85,14'479.70,14'479.70,0.00,0.00,1'260.20,1'355.95,1'355.95,0.00,0.00,1'087.10,1'169.75,1'169.75,0.00,0.00,1'228.45,1'321.90,1'321.90,0.00,0.00,1'150.60,1'237.95,1'237.95,0.00,0.00,1'191.10,1'281.55,1'281.55,0.00,0.00,1'022.20,1'099.80,1'099.80,0.00,0.00,1'328.45,1'429.55,1'429.55,0.00,0.00,1'177.25,1'266.70,1'266.70,0.00,0.00,1'199.50,1'290.75,1'290.75,0.00,0.00,1'507.25,1'621.90,1'621.90,0.00,0.00,1'214.00,1'306.40,1'306.40,0.00,0.00,1'468.75,1'580.30,1'580.30,0.00,0.00,14'834.85,15'962.50,15'962.50,0.00,0.00,176.45,189.85,189.85,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.45,189.85,189.85,0.00,0.00,43'304.15,46'595.80,46'595.80,0.00,0.00
GHOL CAROU,Le Carrousel,485,1'039.85,1'118.95,1'118.95,0.00,0.00,1'082.95,1'165.35,1'165.35,0.00,0.00,1'323.55,1'424.25,1'424.25,0.00,0.00,974.40,1'048.55,1'048.55,0.00,0.00,846.15,910.40,910.40,0.00,0.00,1'166.25,1'255.00,1'255.00,0.00,0.00,953.85,1'026.25,1'026.25,0.00,0.00,859.10,924.45,924.45,0.00,0.00,8'246.10,8'873.20,8'873.20,0.00,0.00,1'119.10,1'204.35,1'204.35,0.00,0.00,974.75,1'048.90,1'048.90,0.00,0.00,1'095.10,1'178.30,1'178.30,0.00,0.00,1'281.35,1'378.70,1'378.70,0.00,0.00,1'229.80,1'323.35,1'323.35,0.00,0.00,1'032.65,1'111.15,1'111.15,0.00,0.00,1'252.50,1'347.80,1'347.80,0.00,0.00,826.45,889.20,889.20,0.00,0.00,1'007.95,1'084.60,1'084.60,0.00,0.00,1'078.85,1'160.85,1'160.85,0.00,0.00,1'041.80,1'121.00,1'121.00,0.00,0.00,1'007.80,1'084.45,1'084.45,0.00,0.00,12'948.10,13'932.65,13'932.65,0.00,0.00,935.95,1'007.10,1'007.10,0.00,0.00,830.60,893.65,893.65,0.00,0.00,1'088.60,1'171.30,1'171.30,0.00,0.00,1'024.50,1'102.30,1'102.30,0.00,0.00,993.55,1'069.05,1'069.05,0.00,0.00,1'055.90,1'136.25,1'136.25,0.00,0.00,893.80,961.80,961.80,0.00,0.00,894.60,962.55,962.55,0.00,0.00,911.85,981.15,981.15,0.00,0.00,918.95,988.75,988.75,0.00,0.00,991.55,1'066.80,1'066.80,0.00,0.00,900.80,969.10,969.10,0.00,0.00,11'440.65,12'309.80,12'309.80,0.00,0.00,698.55,751.60,751.60,0.00,0.00,741.50,797.85,797.85,0.00,0.00,777.10,836.25,836.25,0.00,0.00,805.60,866.95,866.95,0.00,0.00,731.10,786.60,786.60,0.00,0.00,1'009.15,1'085.75,1'085.75,0.00,0.00,603.10,648.95,648.95,0.00,0.00,514.00,553.10,553.10,0.00,0.00,578.65,622.60,622.60,0.00,0.00,661.85,712.15,712.15,0.00,0.00,648.55,697.90,697.90,0.00,0.00,642.70,691.50,691.50,0.00,0.00,8'411.85,9'051.20,9'051.20,0.00,0.00,41'046.70,44'166.85,44'166.85,0.00,0.00
GHOL CORJO,GHOL,486,176.40,189.80,189.80,0.00,0.00,65.00,69.95,69.95,0.00,0.00,141.40,152.20,152.20,0.00,0.00,45.20,48.65,48.65,0.00,0.00,210.20,226.15,226.15,0.00,0.00,40.00,43.05,43.05,0.00,0.00,118.35,127.30,127.30,0.00,0.00,49.75,53.55,53.55,0.00,0.00,846.30,910.65,910.65,0.00,0.00,254.80,274.15,274.15,0.00,0.00,303.05,326.10,326.10,0.00,0.00,,,,,,,,,,,162.50,174.85,174.85,0.00,0.00,,,,,,252.85,272.05,272.05,0.00,0.00,,,,,,254.65,274.00,274.00,0.00,0.00,,,,,,,,,,,189.80,204.20,204.20,0.00,0.00,1'417.65,1'525.35,1'525.35,0.00,0.00,,,,,,,,,,,,,,,,176.50,189.90,189.90,0.00,0.00,,,,,,189.50,203.90,203.90,0.00,0.00,,,,,,,,,,,213.85,230.10,230.10,0.00,0.00,,,,,,,,,,,196.55,211.50,211.50,0.00,0.00,776.40,835.40,835.40,0.00,0.00,,,,,,,,,,,,,,,,173.05,186.20,186.20,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.15,247.65,247.65,0.00,0.00,,,,,,403.20,433.85,433.85,0.00,0.00,3'443.55,3'705.25,3'705.25,0.00,0.00
GHOL NYON,Hôpital de Zone de Nyon,483,34'236.70,36'838.85,36'838.85,0.00,0.00,36'158.30,38'906.35,38'906.35,0.00,0.00,39'858.15,42'887.45,42'887.45,0.00,0.00,39'403.15,42'397.60,42'397.60,0.00,0.00,30'038.35,32'321.35,32'321.35,0.00,0.00,36'974.40,39'784.40,39'784.40,0.00,0.00,37'148.25,39'971.45,39'971.45,0.00,0.00,36'900.00,39'704.50,39'704.50,0.00,0.00,290'717.30,312'811.95,312'811.95,0.00,0.00,37'397.35,40'239.60,40'239.60,0.00,0.00,31'658.40,34'064.30,34'064.30,0.00,0.00,28'862.55,31'056.20,31'056.20,0.00,0.00,31'648.65,34'054.05,34'054.05,0.00,0.00,30'213.75,32'509.95,32'509.95,0.00,0.00,32'263.20,34'715.25,34'715.25,0.00,0.00,34'747.20,37'387.95,37'387.95,0.00,0.00,28'618.95,30'794.00,30'794.00,0.00,0.00,34'896.70,37'548.75,37'548.75,0.00,0.00,34'024.20,36'609.95,36'609.95,0.00,0.00,31'211.40,33'583.55,33'583.55,0.00,0.00,33'929.25,36'507.80,36'507.80,0.00,0.00,389'471.60,419'071.35,419'071.35,0.00,0.00,31'306.50,33'686.00,33'686.00,0.00,0.00,30'897.60,33'245.90,33'245.90,0.00,0.00,35'651.85,38'361.40,38'361.40,0.00,0.00,32'072.25,34'509.80,34'509.80,0.00,0.00,31'134.00,33'500.20,33'500.20,0.00,0.00,32'920.65,35'422.65,35'422.65,0.00,0.00,30'134.70,32'424.95,32'424.95,0.00,0.00,29'852.10,32'120.90,32'120.90,0.00,0.00,30'742.80,33'079.35,33'079.35,0.00,0.00,32'649.90,35'131.35,35'131.35,0.00,0.00,34'539.25,37'164.20,37'164.20,0.00,0.00,33'055.40,35'567.65,35'567.65,0.00,0.00,384'957.00,414'214.35,414'214.35,0.00,0.00,30'469.80,32'785.50,32'785.50,0.00,0.00,29'953.00,32'229.40,32'229.40,0.00,0.00,32'510.10,34'980.65,34'980.65,0.00,0.00,30'884.40,33'231.70,33'231.70,0.00,0.00,30'557.95,32'880.25,32'880.25,0.00,0.00,31'584.40,33'984.80,33'984.80,0.00,0.00,30'347.75,32'654.25,32'654.25,0.00,0.00,31'041.40,33'400.65,33'400.65,0.00,0.00,31'285.60,33'663.20,33'663.20,0.00,0.00,30'266.40,32'566.65,32'566.65,0.00,0.00,32'406.30,34'869.05,34'869.05,0.00,0.00,31'360.85,33'744.25,33'744.25,0.00,0.00,372'667.95,400'990.35,400'990.35,0.00,0.00,1'437'813.85,1'547'088.00,1'547'088.00,0.00,0.00
,,487,1'860.60,2'001.95,2'001.95,0.00,0.00,1'425.30,1'533.70,1'533.70,0.00,0.00,1'371.90,1'476.25,1'476.25,0.00,0.00,1'367.55,1'471.45,1'471.45,0.00,0.00,1'371.15,1'475.45,1'475.45,0.00,0.00,1'904.40,2'049.20,2'049.20,0.00,0.00,1'671.30,1'798.35,1'798.35,0.00,0.00,1'571.85,1'691.30,1'691.30,0.00,0.00,12'544.05,13'497.65,13'497.65,0.00,0.00,1'496.40,1'610.05,1'610.05,0.00,0.00,1'306.65,1'406.00,1'406.00,0.00,0.00,1'023.75,1'101.55,1'101.55,0.00,0.00,1'342.65,1'444.70,1'444.70,0.00,0.00,1'259.85,1'355.65,1'355.65,0.00,0.00,1'079.85,1'162.05,1'162.05,0.00,0.00,1'264.65,1'360.75,1'360.75,0.00,0.00,854.55,919.55,919.55,0.00,0.00,952.20,1'024.50,1'024.50,0.00,0.00,1'362.15,1'465.70,1'465.70,0.00,0.00,1'152.75,1'240.40,1'240.40,0.00,0.00,1'028.40,1'106.65,1'106.65,0.00,0.00,14'123.85,15'197.55,15'197.55,0.00,0.00,1'106.55,1'190.55,1'190.55,0.00,0.00,991.65,1'066.95,1'066.95,0.00,0.00,1'286.25,1'383.95,1'383.95,0.00,0.00,1'006.05,1'082.55,1'082.55,0.00,0.00,1'229.85,1'323.25,1'323.25,0.00,0.00,1'170.75,1'259.65,1'259.65,0.00,0.00,750.15,807.20,807.20,0.00,0.00,683.70,735.65,735.65,0.00,0.00,876.90,943.65,943.65,0.00,0.00,810.90,872.45,872.45,0.00,0.00,1'135.25,1'221.45,1'221.45,0.00,0.00,795.75,856.20,856.20,0.00,0.00,11'843.75,12'743.50,12'743.50,0.00,0.00,955.45,1'028.15,1'028.15,0.00,0.00,917.35,987.00,987.00,0.00,0.00,1'022.70,1'100.30,1'100.30,0.00,0.00,1'031.15,1'109.60,1'109.60,0.00,0.00,820.85,883.30,883.30,0.00,0.00,814.50,876.45,876.45,0.00,0.00,684.55,736.60,736.60,0.00,0.00,681.10,732.90,732.90,0.00,0.00,764.95,823.05,823.05,0.00,0.00,919.60,989.45,989.45,0.00,0.00,761.00,818.95,818.95,0.00,0.00,1'020.20,1'097.80,1'097.80,0.00,0.00,10'393.40,11'183.55,11'183.55,0.00,0.00,48'905.05,52'622.25,52'622.25,0.00,0.00
,,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773.80,832.60,832.60,0.00,0.00,250.50,269.55,269.55,0.00,0.00,504.05,542.30,542.30,0.00,0.00,192.80,207.45,207.45,0.00,0.00,,,,,,241.50,259.85,259.85,0.00,0.00,507.90,546.45,546.45,0.00,0.00,52.40,56.40,56.40,0.00,0.00,207.90,223.70,223.70,0.00,0.00,18.00,19.35,19.35,0.00,0.00,123.05,132.40,132.40,0.00,0.00,2'871.90,3'090.05,3'090.05,0.00,0.00,2'871.90,3'090.05,3'090.05,0.00,0.00
,Hôpital de Zone de Nyon Total,,36'097.30,38'840.80,38'840.80,0.00,0.00,37'583.60,40'440.05,40'440.05,0.00,0.00,41'230.05,44'363.70,44'363.70,0.00,0.00,40'770.70,43'869.05,43'869.05,0.00,0.00,31'409.50,33'796.80,33'796.80,0.00,0.00,38'878.80,41'833.60,41'833.60,0.00,0.00,38'819.55,41'769.80,41'769.80,0.00,0.00,38'471.85,41'395.80,41'395.80,0.00,0.00,303'261.35,326'309.60,326'309.60,0.00,0.00,38'893.75,41'849.65,41'849.65,0.00,0.00,32'965.05,35'470.30,35'470.30,0.00,0.00,29'886.30,32'157.75,32'157.75,0.00,0.00,32'991.30,35'498.75,35'498.75,0.00,0.00,31'473.60,33'865.60,33'865.60,0.00,0.00,33'343.05,35'877.30,35'877.30,0.00,0.00,36'011.85,38'748.70,38'748.70,0.00,0.00,29'473.50,31'713.55,31'713.55,0.00,0.00,35'848.90,38'573.25,38'573.25,0.00,0.00,35'386.35,38'075.65,38'075.65,0.00,0.00,32'364.15,34'823.95,34'823.95,0.00,0.00,34'957.65,37'614.45,37'614.45,0.00,0.00,403'595.45,434'268.90,434'268.90,0.00,0.00,32'413.05,34'876.55,34'876.55,0.00,0.00,31'889.25,34'312.85,34'312.85,0.00,0.00,36'938.10,39'745.35,39'745.35,0.00,0.00,33'078.30,35'592.35,35'592.35,0.00,0.00,32'363.85,34'823.45,34'823.45,0.00,0.00,34'091.40,36'682.30,36'682.30,0.00,0.00,30'884.85,33'232.15,33'232.15,0.00,0.00,30'535.80,32'856.55,32'856.55,0.00,0.00,31'619.70,34'023.00,34'023.00,0.00,0.00,33'460.80,36'003.80,36'003.80,0.00,0.00,35'674.50,38'385.65,38'385.65,0.00,0.00,33'851.15,36'423.85,36'423.85,0.00,0.00,396'800.75,426'957.85,426'957.85,0.00,0.00,31'425.25,33'813.65,33'813.65,0.00,0.00,31'644.15,34'049.00,34'049.00,0.00,0.00,33'783.30,36'350.50,36'350.50,0.00,0.00,32'419.60,34'883.60,34'883.60,0.00,0.00,31'571.60,33'971.00,33'971.00,0.00,0.00,32'398.90,34'861.25,34'861.25,0.00,0.00,31'273.80,33'650.70,33'650.70,0.00,0.00,32'230.40,34'680.00,34'680.00,0.00,0.00,32'102.95,34'542.65,34'542.65,0.00,0.00,31'393.90,33'779.80,33'779.80,0.00,0.00,33'185.30,35'707.35,35'707.35,0.00,0.00,32'504.10,34'974.45,34'974.45,0.00,0.00,385'933.25,415'263.95,415'263.95,0.00,0.00,1'489'590.80,1'602'800.30,1'602'800.30,0.00,0.00
GHOL ROLLE,Hôpital de Rolle,484,10'946.75,11'778.65,11'778.65,0.00,0.00,8'676.15,9'335.50,9'335.50,0.00,0.00,9'697.95,10'435.05,10'435.05,0.00,0.00,10'257.50,11'037.10,11'037.10,0.00,0.00,8'614.70,9'269.45,9'269.45,0.00,0.00,9'355.90,10'066.95,10'066.95,0.00,0.00,11'293.75,12'151.90,12'151.90,0.00,0.00,13'270.40,14'279.00,14'279.00,0.00,0.00,82'113.10,88'353.60,88'353.60,0.00,0.00,10'155.80,10'927.60,10'927.60,0.00,0.00,9'007.20,9'691.65,9'691.65,0.00,0.00,11'540.85,12'417.95,12'417.95,0.00,0.00,9'230.45,9'931.95,9'931.95,0.00,0.00,9'478.90,10'199.25,10'199.25,0.00,0.00,11'168.20,12'017.00,12'017.00,0.00,0.00,11'234.70,12'088.55,12'088.55,0.00,0.00,11'347.90,12'210.25,12'210.25,0.00,0.00,8'447.55,9'089.55,9'089.55,0.00,0.00,11'789.15,12'685.05,12'685.05,0.00,0.00,9'054.15,9'742.15,9'742.15,0.00,0.00,11'167.75,12'016.40,12'016.40,0.00,0.00,123'622.60,133'017.35,133'017.35,0.00,0.00,10'899.25,11'727.60,11'727.60,0.00,0.00,9'471.40,10'191.20,10'191.20,0.00,0.00,11'140.35,11'987.10,11'987.10,0.00,0.00,10'084.15,10'850.75,10'850.75,0.00,0.00,11'157.10,12'004.95,12'004.95,0.00,0.00,11'513.55,12'388.60,12'388.60,0.00,0.00,10'384.45,11'173.75,11'173.75,0.00,0.00,9'364.95,10'076.65,10'076.65,0.00,0.00,8'468.45,9'112.10,9'112.10,0.00,0.00,8'764.45,9'430.75,9'430.75,0.00,0.00,9'168.55,9'865.30,9'865.30,0.00,0.00,10'243.30,11'021.75,11'021.75,0.00,0.00,120'659.95,129'830.50,129'830.50,0.00,0.00,8'578.20,9'230.25,9'230.25,0.00,0.00,9'054.10,9'742.55,9'742.55,0.00,0.00,9'103.15,9'795.10,9'795.10,0.00,0.00,10'202.70,10'978.10,10'978.10,0.00,0.00,9'699.85,10'437.15,10'437.15,0.00,0.00,9'792.65,10'536.85,10'536.85,0.00,0.00,10'473.85,11'269.90,11'269.90,0.00,0.00,10'300.20,11'083.05,11'083.05,0.00,0.00,9'051.85,9'739.70,9'739.70,0.00,0.00,8'711.05,9'373.05,9'373.05,0.00,0.00,9'413.40,10'128.80,10'128.80,0.00,0.00,10'064.30,10'829.15,10'829.15,0.00,0.00,114'445.30,123'143.65,123'143.65,0.00,0.00,440'840.95,474'345.10,474'345.10,0.00,0.00
,,806,75.45,81.20,81.20,0.00,0.00,175.85,189.25,189.25,0.00,0.00,33.00,35.50,35.50,0.00,0.00,172.80,186.00,186.00,0.00,0.00,107.70,115.90,115.90,0.00,0.00,105.75,113.80,113.80,0.00,0.00,285.90,307.55,307.55,0.00,0.00,79.05,85.05,85.05,0.00,0.00,1'035.50,1'114.25,1'114.25,0.00,0.00,187.65,201.90,201.90,0.00,0.00,228.75,246.10,246.10,0.00,0.00,74.40,80.05,80.05,0.00,0.00,208.20,224.10,224.10,0.00,0.00,157.05,169.00,169.00,0.00,0.00,153.75,165.45,165.45,0.00,0.00,56.70,61.00,61.00,0.00,0.00,117.75,126.70,126.70,0.00,0.00,95.10,102.30,102.30,0.00,0.00,104.40,112.35,112.35,0.00,0.00,132.90,143.00,143.00,0.00,0.00,79.05,85.05,85.05,0.00,0.00,1'595.70,1'717.00,1'717.00,0.00,0.00,127.35,137.00,137.00,0.00,0.00,172.50,185.60,185.60,0.00,0.00,187.35,201.60,201.60,0.00,0.00,152.10,163.65,163.65,0.00,0.00,122.55,131.85,131.85,0.00,0.00,72.90,78.45,78.45,0.00,0.00,119.25,128.30,128.30,0.00,0.00,112.80,121.35,121.35,0.00,0.00,125.70,135.20,135.20,0.00,0.00,162.75,175.10,175.10,0.00,0.00,179.50,193.10,193.10,0.00,0.00,114.15,122.80,122.80,0.00,0.00,1'648.90,1'774.00,1'774.00,0.00,0.00,187.85,202.15,202.15,0.00,0.00,158.00,170.00,170.00,0.00,0.00,142.05,152.85,152.85,0.00,0.00,157.80,169.75,169.75,0.00,0.00,145.75,156.80,156.80,0.00,0.00,93.30,100.40,100.40,0.00,0.00,162.75,175.15,175.15,0.00,0.00,128.95,138.75,138.75,0.00,0.00,122.75,132.10,132.10,0.00,0.00,170.05,182.95,182.95,0.00,0.00,157.95,169.95,169.95,0.00,0.00,139.20,149.80,149.80,0.00,0.00,1'766.40,1'900.65,1'900.65,0.00,0.00,6'046.50,6'505.90,6'505.90,0.00,0.00
